itemcode,title,longtitle,brandcode,brand,groupcode,group,statusgroupcode,statusgroup,price,chargeprice,totalprice,suggestprice,barcode,stockfree,backorder,categoryid1,categoryname1,categoryid2,categoryname2,icecatproductid,productimage,warrantyinfo
UME2-0320Y0R11,Goodram UME2-0320Y0R1 USB flash drive 32 GB USB Type-A 2.0 Geel,Goodram UME2 USB Flashdrive 32GB USB Type-A 2.0 Geel,A21,Goodram,A2,Flashdrive,10009,New,1.9885,0.5,2.4885,3.95,5908267935682,118,0,8,Opslagmedia,1554,USB-sticks,0,https://productimages.nl/media/image/low/6c404d66c45e9ead38317b8233016403600492b018572306e22a179e1e4c3963.jpg,5 jaar via Complies
UME2-0640Y0R11,Goodram UME2-0640Y0R1 USB flash drive 64 GB USB Type-A 2.0 Geel,Goodram UME2 USB Flashdrive 64GB USB Type-A 2.0 Geel,A21,Goodram,A2,Flashdrive,10009,New,3.51575,0.5,4.01575,12.95,5908267935705,98,0,8,Opslagmedia,1554,USB-sticks,0,https://productimages.nl/media/image/low/080667d43656b8488c586ab6fda34d4208623704d75e642c1e60c858b611f9cc.jpg,5 jaar via Complies
UME3-0320K0R11,Goodram UME3 USB flash drive 32 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Zwart,Storage Goodram Flashdrive 'UME3' 32GB USB3.0 Black,A21,Goodram,A2,Flashdrive,10009,New,2.61375,0.5,3.11375,5.95,5908267935750,26,0,8,Opslagmedia,1554,USB-sticks,0,https://productimages.nl/media/image/low/bdc4b820d48982ab87c7ebf1e762970586ac9411254db6cb3eb938456386e2e0.jpg,5 jaren via Complies
UME3-0640O0R11,Goodram UME3-0640O0R11 USB flash drive 64 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Oranje,Storage Goodram Flashdrive 64GB USB3.0 Orange,A21,Goodram,A2,Flashdrive,10009,New,4.35625,0.5,4.85625,7.5,5908267935781,3,0,8,Opslagmedia,1554,USB-sticks,0,https://productimages.nl/media/image/low/9a12f1cc6c34fd91d0213a42585b2d319cc72eb6cb0d16c5c332d914850a5308.jpg,5 jaren via Complies
UOC-1,Ubiquiti Networks UniFi ODN 1m Glasvezel kabel OM3 LC Aqua-kleur,Ubiquiti Networks UniFi ODN 1m Glasvezel kabel OM3 LC Aqua-k,Z1,Ubiquiti,C5,Netwerk,10009,New,3.7925,0,3.7925,6.95,817882020435,8,0,9,Kabels en adapters,953,Glasvezelkabels,37411589,https://productimages.nl/media/image/low/cd132bf33e6c563c9941f132884e69909b5a1e23d151b3487385e7b47a143eeb.jpg,2 jaar via Complies
UOC-2,Ubiquiti Networks UniFi ODN 2m Glasvezel kabel OM3 LC Aqua-kleur,Ubiquiti UniFI patchkabel - 2 m,Z1,Ubiquiti,C5,Netwerk,10009,New,4.6535,0,4.6535,7.95,,19,0,9,Kabels en adapters,953,Glasvezelkabels,37411603,https://productimages.nl/media/image/low/fa7005ae5725d266927c63cae5c24daa1f9f61e1db0fccdbd580fc75f7427b6a.jpg,1 jaar via Complies
US-16-150W,Ubiquiti UniFi Managed Gigabit Ethernet PoE 16-ports Switch,Ubiquiti UniFi  Managed Gigabit Ethernet PoE 16-ports Switch,Z1,Ubiquiti,C5,Netwerk,10009,New,205.66625,0,205.66625,395.95,810354023279,0,0,16,Netwerk,258,Netwerkswitches,31613470,https://productimages.nl/media/image/low/2846e86c9d1bdef2ac78d3562f82bfa9d32f5e025af21ee868552a330a7b200c.jpg,1 jaar via Complies
US-24,Ubiquiti UniFi Switch 24-poorts 25W zilver,Ubiquiti UniFi Switch 24-poorts 25W,Z1,Ubiquiti,C5,Netwerk,10009,New,141.86,0,141.86,249.5,810354024771,0,0,16,Netwerk,258,Netwerkswitches,33455309,https://productimages.nl/media/image/low/4aa03e0d0d90f2d3a982f1d9a1948bb0d5f10a7acabc504c39f8daf8d40baee4.jpg,1 jaar via Complies
US-24-250W,Ubiquiti Networks UniFi US-24-250W Managed network switch Gigabit Ethernet (10/100/1000) Power over Ethernet (PoE) 1U Zilver netwerk-switch,Ubiquiti Managed Gigabit Ethernet PoE Network Switch Silver,Z1,Ubiquiti,C5,Netwerk,10009,New,289.12175,0,289.12175,509.5,810354023149,0,0,16,Netwerk,258,Netwerkswitches,24779255,https://productimages.nl/media/image/low/e015bffab15910c5432b285783017fd4c4b2fd4f72f5c9edcca40ff33ea54565.jpg,1 jaar via Complies
US-48,Ubiquiti Networks UniFi US-48 Managed network switch Gigabit Ethernet (10/100/1000) 1U Wit netwerk-switch,Ubiquiti US-48 Managed network switch Gigabit Network Switch,Z1,Ubiquiti,C5,Netwerk,10009,New,275.305775,0,275.305775,512.95,810354024788,0,0,16,Netwerk,258,Netwerkswitches,33444706,https://productimages.nl/media/image/low/cee26df75817a719af37d072054be3edfa59dac82dfdafa8f77563f9fce75467.jpg,1 jaar via Complies
